goos: windows
goarch: amd64
pkg: sinesum
cpu: Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
BenchmarkSineSumInt/1pct-8         	    3283	    391603 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/1pct-8         	    2601	    449093 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/1pct-8         	    2893	    487866 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/1pct-8         	    2834	    425822 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/1pct-8         	    2932	    401110 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/1pct-8         	    3123	    461910 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8        	     302	   3672355 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8        	     325	   4205796 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8        	     279	   4014527 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8        	     298	   4203099 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8        	     280	   4168404 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8        	     284	   3908586 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8        	     145	   8658962 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8        	     140	   8231054 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8        	     148	   7894106 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8        	     145	   8145792 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8        	     147	   8066545 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8        	     148	   8055072 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8        	      87	  12001354 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8        	     100	  12136782 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8        	     100	  12236676 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8        	     100	  11601479 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8        	     100	  11587828 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8        	     100	  11668140 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/40pct-8        	      78	  15556824 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/40pct-8        	      78	  15423441 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/40pct-8        	      78	  15455690 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/40pct-8        	      78	  15483610 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/40pct-8        	      80	  16776709 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/40pct-8        	      74	  15801868 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/50pct-8        	      54	  18811630 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/50pct-8        	      64	  19116505 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/50pct-8        	      57	  19422188 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/50pct-8        	      60	  19274027 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/50pct-8        	      63	  19290440 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/50pct-8        	      60	  20321348 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/60pct-8        	      49	  22977780 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/60pct-8        	      46	  22916826 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/60pct-8        	      51	  23437696 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/60pct-8        	      51	  22968182 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/60pct-8        	      52	  22976396 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/60pct-8        	      54	  23081528 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/70pct-8        	      43	  27027626 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/70pct-8        	      46	  25918620 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/70pct-8        	      45	  25836780 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/70pct-8        	      46	  26139493 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/70pct-8        	      44	  27244825 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/70pct-8        	      44	  31196777 ns/op	       0 B/op	       0 allocs/op
