goos: windows
goarch: amd64
pkg: sinesum
cpu: Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
BenchmarkSineSumFloat/80pct-8         	      63	  18789222 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8         	      73	  17461797 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8         	      68	  17081603 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8         	      69	  18080687 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8         	      70	  17866091 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8         	      73	  16781979 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8         	      64	  19558883 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8         	      63	  22826414 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8         	      52	  22677025 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8         	      62	  22365135 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8         	      42	  24237495 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8         	      51	  20086114 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8        	      55	  22174207 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8        	      55	  21947064 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8        	      52	  24728963 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8        	      51	  23102441 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8        	      46	  24575537 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8        	      55	  20991889 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	sinesum	25.910s
