goos: windows
goarch: amd64
pkg: sinesum
cpu: Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
BenchmarkSineSumInt/1pct-8  	    3417	    365946 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/1pct-8  	    2772	    385372 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/1pct-8  	    3115	    382939 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/1pct-8  	    2985	    379855 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/1pct-8  	    3318	    367032 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/1pct-8  	    3122	    365361 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8 	     324	   3661861 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8 	     322	   3705187 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8 	     327	   3817872 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8 	     295	   3685177 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8 	     326	   3662798 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/10pct-8 	     327	   3703765 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8 	     162	   7341702 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8 	     160	   7407582 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8 	     163	   7324707 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8 	     163	   7437267 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8 	     162	   7462180 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/20pct-8 	     163	   7347233 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8 	     100	  10914019 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8 	     100	  10939013 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8 	     100	  11035048 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8 	     100	  11140993 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8 	     100	  12052942 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/30pct-8 	     100	  11075460 ns/op	       0 B/op	       0 allocs/op
